"username","Routename","Price","RouteType","servername"
"shridis","TRANS","0.20000","1","displusindia"
"ceeonlinedis","PROMO","0.10000","0","displusindia"
"ceeonlinedis","TRANS","0.10000","1","displusindia"
"namanp","PROMO","0.11000","0","displusindia"
"namanp","TRANS","0.11000","1","displusindia"
"smsdis","PROMO1","0.08750","0","displusindia"
"smsdis","trans1","0.08750","1","displusindia"
"xcell","promo","0.20000","0","displusindia"
"xcell","Trans","0.20000","1","displusindia"
"kdis","PROMO","0.10000","0","displusindia"
"kdis","TRANS","0.10000","1","displusindia"
"crossdis","PROMO","0.11000","0","displusindia"
"crossdis","TRANS","0.11000","1","displusindia"
"ozonedist","loop Mump","0.15000","0","displusindia"
"ozonedist","loop Mumt","0.15000","1","displusindia"
"simplydis","PROMO","0.10000","0","displusindia"
"simplydis","TRANS","0.10000","1","displusindia"
"voicedis","PROMO","0.10000","0","displusindia"
"voicedis","TRANs","0.10000","1","displusindia"
"eworlddis","PROMO","0.09000","0","displusindia"
"eworlddis","TRANS","0.09000","1","displusindia"
"globalcondis","PROMO1","0.09000","0","displusindia"
"globalcondis","trans1","0.09000","1","displusindia"
"jain1987d","Promo","0.08750","0","displusindia"
"jaindis","PROMO1","0.09500","0","displusindia"
"jaindis","trans1","0.09500","1","displusindia"
"bulksalerel","PROMO","0.10000","0","displusindia"
"bulksalerel","TRANS","0.10000","1","displusindia"
"smsforitdis","trans1","0.09000","1","displusindia"
"smsforitdis","PROMO1","0.09000","0","displusindia"
"crtdistribute","loop Mumt","0.09000","1","displusindia"
"crtdistribute","loop Mum","0.09000","0","displusindia"
"cimsms","trans1","0.08250","1","displusindia"
"cimsms","PROMO1","0.08250","0","displusindia"
"easydis","PROMO","0.20000","0","displusindia"
"easydis","TRANS","0.20000","1","displusindia"
"prpdis","PROMO","0.07000","0","displusindia"
"prpdis","TRANS","0.07000","1","displusindia"
"adcraftsdis","PROMO","0.20000","0","displusindia"
"adcraftsdis","TRANS","0.20000","1","displusindia"
"greenemdis","PROMO","0.20000","0","displusindia"
"greenemdis","TRANS","0.20000","1","displusindia"
"zoomsmsdis","PROMO","0.20000","0","displusindia"
"zoomsmsdis","TRANS","0.20000","1","displusindia"
"versiondp","trans1","0.10000","1","displusindia"
"dplusind","Promo3","0.18000","0","displusindia"
"newrisedis","PROMO","0.20000","0","displusindia"
"newrisedis","TRANS","0.20000","1","displusindia"
"versiondp","promo","0.10000","0","displusindia"
"bulkdist","promo","0.08500","0","displusindia"
"bulkdist","tra","0.08500","1","displusindia"
"asoftdis","promo","0.20000","0","displusindia"
"asoftdis","Trans","0.20000","1","displusindia"
"nashikdis","promo","0.20000","0","displusindia"
"nashikdis","Trans","0.20000","1","displusindia"
"dplusind2","TRANS","0.10500","1","displusindia"
"mantradist","promo","0.09000","0","displusindia"
"mantradist","Trans","0.09000","1","displusindia"
"inventdis","promo","0.09500","0","displusindia"
"inventdis","Trans","0.09500","1","displusindia"
"smstakedis","PROMO1","0.09000","0","displusindia"
"smstakedis","trans1","0.09000","1","displusindia"
"srichakradis","promo","0.09000","0","displusindia"
"srichakradis","Trans","0.09000","1","displusindia"
"itbazaardis","Loopp","0.11000","0","displusindia"
"itbazaardis","Looptr","0.11000","1","displusindia"
"prptrndis","loopp","0.07000","0","displusindia"
"prptrndis","loopt","0.07000","1","displusindia"
"arihantmediadis","loopp","0.08250","0","displusindia"
"arihantmediadis","loopt","0.08250","1","displusindia"
"minddis","promo","0.20000","0","displusindia"
"minddis","Trans","0.20000","1","displusindia"
"ashika","loopp","0.20000","0","displusindia"
"ashika","loopt","0.20000","1","displusindia"
"saimedia2","trans1","0.20000","1","displusindia"
"saimedia1","trans1","0.20000","1","displusindia"
"w2softdis","pro","0.09500","0","displusindia"
"w2softdis","tra","0.09500","1","displusindia"
"bhavanadis","promo","0.09500","0","displusindia"
"bhavanadis","Trans","0.09500","1","displusindia"
"globalcond","promo","0.09000","0","displusindia"
"globalcond","Trans","0.09000","1","displusindia"
"gracetrr","PROMO1","0.10000","0","displusindia"
"gracetrr","trans1","0.10000","1","displusindia"
"smsindiadis","PROMO1","0.09000","0","displusindia"
"smsindiadis","trans1","0.09000","1","displusindia"
"c3solutiond","promo","0.09000","0","displusindia"
"c3solutiond","Trans","0.09000","1","displusindia"
"covalendis","promo","0.20000","0","displusindia"
"covalendis","Trans","0.20000","1","displusindia"
"vasudavdis","Pro","0.09000","0","displusindia"
"vasudavdis","Tra","0.09000","1","displusindia"
"covaldist","colvaltrns","0.20000","1","displusindia"
"covaldist","covalpro","0.20000","0","displusindia"
"covalentdis","Pro","0.08250","0","displusindia"
"covalentdis","Tra","0.08250","1","displusindia"
"linktel","lnktran","0.20000","1","displusindia"
"boandist","promo","0.08000","0","displusindia"
"boandist","Trans","0.08000","1","displusindia"
"thinksmsdis","thinkpromo","0.09000","0","displusindia"
"thinksmsdis","thinktrans","0.09000","1","displusindia"
"krinadist","PROMO1","0.12000","0","displusindia"
"krinadist","trans1","0.12000","1","displusindia"
"iinetdist","iinetdispromo","0.09500","0","displusindia"
"iinetdist","iinetdistrans","0.09500","1","displusindia"
"pcexpdis","pxpromo","0.09000","0","displusindia"
"pcexpdis","pcxtrans","0.09000","1","displusindia"
"smsindiahubdis","smsintrans","0.08500","1","displusindia"
"reachdis","Rdispro","0.10000","0","displusindia"
"reachdis","Rdistrn","0.10000","1","displusindia"
"mobid","Promotional","0.08250","0","displusindia"
"mobid","Transactional","0.08250","1","displusindia"
"smsindustry","PROMO1","0.09000","0","displusindia"
"smsindustry","trans1","0.09000","1","displusindia"
"smartysms","smspro","0.09000","0","displusindia"
"smartysms","smstra","0.09000","1","displusindia"
"vinaclerel1","Provina","0.10000","0","displusindia"
"vinaclerel1","Tranvina","0.10000","1","displusindia"
"maxmobiz1","Promaxm","0.10500","0","displusindia"
"maxmobiz1","tranmxam","0.10500","1","displusindia"
"saurust","saut","0.20000","0","displusindia"
"saurust","sauttran","0.20000","1","displusindia"
"ssvtech","PROMO1","0.20000","0","displusindia"
"ssvtech","trans1","0.20000","1","displusindia"
"marcr","Promotional","0.09000","0","displusindia"
"marcr","Transactional","0.09000","1","displusindia"
"massmarkt","PROMO1","0.08500","0","displusindia"
"massmarkt","trans1","0.08500","1","displusindia"
"msg22","PROMO1","0.10000","0","displusindia"
"msg22","trans1","0.10000","1","displusindia"
"useenetd","promo","0.09000","0","displusindia"
"useenetd","Trans","0.09000","1","displusindia"
"shrinivas","promo","0.08500","0","displusindia"
"shrinivas","Trans","0.08500","1","displusindia"
"sanjeevnidist","promo","0.10000","0","displusindia"
"sanjeevnidist","Trans","0.10000","1","displusindia"
"erixonprom","PROMO","0.09000","0","displusindia"
"ebentelecom1","Promo","0.10000","0","displusindia"
"ebentelecom1","Tran","0.10000","1","displusindia"
"erixonprom","Trans","0.09000","1","displusindia"
"ssexpertdis","promo","0.08750","0","displusindia"
"ssexpertdis","Trans","0.08750","1","displusindia"
"racftsdis","ACroute","0.20000","1","displusindia"
"racftsdis","ACpro","0.20000","0","displusindia"
"pretechdis","promo","0.11000","0","displusindia"
"pretechdis","TRANS","0.11000","1","displusindia"
"aventdis","PROMO","0.20000","0","displusindia"
"aventdis","TRANS","0.20000","1","displusindia"
"smskota","PROMO1","0.09000","0","displusindia"
"smskota","trans1","0.09000","1","displusindia"
"sscommod","PROMO","0.20000","0","displusindia"
"sscommod","TRANS","0.20000","1","displusindia"
"swaransoftdis","ssspro","0.10000","0","displusindia"
"swaransoftdis","sssptr","0.10000","1","displusindia"
"adsclinic","PROMO1","0.20000","0","displusindia"
"adsclinic","trans1","0.20000","1","displusindia"
"sritechdis","promo","0.20000","0","displusindia"
"sritechdis","Trans","0.20000","1","displusindia"
"arsalt","trans1","0.20000","1","displusindia"
"arihantinvest","PROMO1","0.20000","0","displusindia"
"arihantinvest","trans1","0.20000","1","displusindia"
"emarketing","loopp","0.09500","0","displusindia"
"emarketing","loopt","0.09500","1","displusindia"
"niitdis","PROMO","0.20000","0","displusindia"
"niitdis","TRANS","0.20000","1","displusindia"
"stockdis","TRANS","0.20000","1","displusindia"
"protonzindia","promo","0.08500","0","displusindia"
"protonzindia","trans","0.08500","1","displusindia"
"mrchargedis","PROMO1","0.09000","0","displusindia"
"mrchargedis","trans1","0.09000","1","displusindia"
"jeevan","PROMO1","0.09000","0","displusindia"
"jeevan","trans1","0.09000","1","displusindia"
"colossaldist","PROMO1","0.10000","0","displusindia"
"colossaldist","trans1","0.10000","1","displusindia"
"jain19872dis","trans1","0.08750","1","displusindia"
"sonucool","promo","0.09000","0","displusindia"
"sonucool","trans","0.09000","1","displusindia"
"karva2","promo","0.20000","0","displusindia"
"karva2","trans","0.20000","1","displusindia"
"sritechdist","promo","0.11000","0","displusindia"
"sritechdist","trans","0.11000","1","displusindia"
"sminfo","promo","0.20000","0","displusindia"
"sminfo","tran","0.20000","1","displusindia"
"sankalppr","promo","0.20000","0","displusindia"
"infinitydi","promo","0.20000","0","displusindia"
"infinitydi","trans","0.20000","1","displusindia"
"cpeopledist","cpepr","0.20000","0","displusindia"
"cpeopledist","cpetr","0.20000","1","displusindia"
"tgsoftdist","PROMO1","0.20000","0","displusindia"
"tgsoftdist","trans1","0.20000","1","displusindia"
"orlando1","Promotional","0.08900","0","displusindia"
"orlando1","Transactional","0.08900","1","displusindia"
"jain1987d","trans","0.08750","1","displusindia"
"iinetdistpro","trans","0.09500","1","displusindia"
"one97d","Promotional","0.08500","0","displusindia"
"one97d","Transactional","0.08500","1","displusindia"
"one97dt","Promotional","0.08500","0","displusindia"
"one97dt","Transactional","0.08500","1","displusindia"
"clarionmediaz1","trans","0.11500","1","displusindia"
"trinitydis","trindispro","0.10000","0","displusindia"
"trinitydis","trindistr","0.10000","1","displusindia"
"trinityy","PROMO1","0.20000","0","displusindia"
"trinityy","trans1","0.20000","1","displusindia"
"carehprodis","promo","0.08500","0","displusindia"
"shrestha","Promotional","0.09000","0","displusindia"
"shrestha","Transactional","0.09000","1","displusindia"
"smsclubd","trans","0.08250","1","displusindia"
"dakhal","Promotional","0.09000","0","displusindia"
"dakhal","transcrub","0.09000","1","displusindia"
"smsclubd","promo","0.08250","0","displusindia"
"ihantet","transcrub","0.09000","1","displusindia"
"ihantet","Promotional","0.09000","0","displusindia"
"digitaldis","promo","0.09000","0","displusindia"
"digitaldis","trans","0.09000","1","displusindia"
"intaglio","promo","0.20000","0","displusindia"
"intaglio","trans","0.20000","1","displusindia"
"bulkmsgsm","buks","0.08250","0","displusindia"
"bulkmsgsm","bukstrn","0.08500","1","displusindia"
"mainfo","promo","0.20000","0","displusindia"
"mainfo","trans","0.20000","1","displusindia"
"visiondis","visdis","0.12000","0","displusindia"
"visiondis","visdistrn","0.12000","1","displusindia"
"indiandis","PROMO1","0.08500","0","displusindia"
"indiandis","TRANS1","0.08500","1","displusindia"
"v3sdist","promo","0.20000","0","displusindia"
"v3sdist","trans","0.20000","1","displusindia"
"manisysdis","PROMO1","0.09000","0","displusindia"
"manisysdis","Trans1","0.09000","1","displusindia"
"besiscrub","Trans1","0.08500","1","displusindia"
"mysmsjp","ACpro","0.20000","0","displusindia"
"mysmsjp","ACroute","0.20000","1","displusindia"
"grinfodis","grintrn","0.08250","1","displusindia"
"grinfodis","promo","0.08250","0","displusindia"
"instadis","PROMO1","0.25000","0","displusindia"
"instadis","TRANS1","0.25000","1","displusindia"
"ceresdis","promo","0.20000","0","displusindia"
"ceresdis","trans","0.20000","1","displusindia"
"smsemail","TRANS1","0.20000","1","displusindia"
"smsemail","PROMO1","0.20000","0","displusindia"
"cheapsmsdis","promo","0.20000","0","displusindia"
"cheapsmsdis","trans","0.20000","1","displusindia"
"smssevadis","Trans","0.10000","1","displusindia"
"smssevadis","promo","0.10000","0","displusindia"
"baskdudis","promo","0.20000","0","displusindia"
"baskdudis","trans","0.20000","1","displusindia"
"sarvdis","promo","0.20000","0","displusindia"
"sarvdis","trans","0.20000","1","displusindia"
"vrvitdist","promo","0.08500","0","displusindia"
"vrvitdist","trans","0.08500","1","displusindia"
"creeperpnp1","PROMO","0.09000","0","displusindia"
"creeperpnp1","Trans1","0.09000","1","displusindia"
"sayadiscrub","trans","0.08500","1","displusindia"
"sayadiscrub","promo","0.08500","0","displusindia"
"letsdosmsres1","PROMO","0.09000","0","displusindia"
"letsdosmsres1","Trans","0.09000","1","displusindia"
"networlddist","PROMO1","0.08500","0","displusindia"
"networlddist","TRANS1","0.08500","1","displusindia"
"wintechdis","promo","0.09000","0","displusindia"
"wintechdis","trans","0.09000","1","displusindia"
"dplusind","transc","0.10500","1","displusindia"
"nimapinfotech","promo","0.08500","0","displusindia"
"nimapinfotech","trans","0.08500","1","displusindia"
"ynormed","trans","0.10000","1","displusindia"
"hspmed","trans","0.20000","1","displusindia"
"hindustandis","bst","0.09000","1","displusindia"
"stmdis","promo","0.09500","0","displusindia"
"stmdis","trans","0.09500","1","displusindia"
"ionbeedis","promo","0.20000","0","displusindia"
"ionbeedis","trans","0.20000","1","displusindia"
"pcescrubdis","bst","0.09000","1","displusindia"
"indfastdis","promo","0.20000","0","displusindia"
"indfastdis","trans","0.20000","1","displusindia"
"regalsallescrp","promo1","0.20000","0","displusindia"
"regalsallescrp","trans1","0.20000","1","displusindia"
"fortuneesms","PROMO","0.20000","0","displusindia"
"unipay4you","promo","0.20000","0","displusindia"
"unipay4you","trans","0.20000","1","displusindia"
"arihantadv","PROMO1","0.08750","0","displusindia"
"arihantadv","TRANS1","0.08750","1","displusindia"
"bhargava","bharpr","0.09000","0","displusindia"
"bhargava","bhartr","0.09000","1","displusindia"
"creatdis","PROMO","0.09000","0","displusindia"
"creatdis","Trans","0.09000","1","displusindia"
"smscab","promo","0.20000","0","displusindia"
"smscab","trans","0.20000","1","displusindia"
"ipeoplescrub","ipetr","0.08500","1","displusindia"
"crtdis","promo","0.09000","0","displusindia"
"crtdis","trans","0.09000","1","displusindia"
"shrihdesigns","promo","0.20000","0","displusindia"
"shrihdesigns","trans","0.20000","1","displusindia"
"weprovide","bstt","0.20000","1","displusindia"
"weprovide","bstp","0.20000","0","displusindia"
"mysmsmart","bstp","0.09000","0","displusindia"
"mysmsmart","bstt","0.09000","1","displusindia"
"vsoludis","promo","0.20000","0","displusindia"
"vsoludis","trans","0.20000","1","displusindia"
"masssncdmdis","PROMO","0.08500","0","displusindia"
"masssncdmdis","Trans","0.08500","1","displusindia"
"kothariwdis","promo","0.08250","0","displusindia"
"kothariwdis","trans","0.08250","1","displusindia"
"multitopup2","PROMO","0.20000","0","displusindia"
"multitopup2","Trans","0.20000","1","displusindia"
"nxglabs","PROMO","0.20000","0","displusindia"
"nxglabs","Trans","0.20000","1","displusindia"
"shresthascrub","transcrub","0.09000","1","displusindia"
"aarav","bstp","0.10000","0","displusindia"
"aarav","bstt","0.10000","1","displusindia"
"octosysdist","octopromo","0.10000","0","displusindia"
"octosysdist","octotrn","0.10000","1","displusindia"
"harwebsoldis","promo","0.09000","0","displusindia"
"harwebsoldis","trans","0.09000","1","displusindia"
"cklonline","PROMO","0.20000","0","displusindia"
"cklonline","Trans","0.20000","1","displusindia"
"cbnetwork","cbnpr","0.20000","0","displusindia"
"cbnetwork","cbntr","0.20000","1","displusindia"
"vtel","bstp","0.20000","0","displusindia"
"vtel","bstt","0.20000","1","displusindia"
"remotedis","PROMO","0.20000","0","displusindia"
"remotedis","Trans","0.20000","1","displusindia"
"mobexdis","PROMO","0.20000","0","displusindia"
"mobexdis","Trans","0.20000","1","displusindia"
"webplatdis","promo","0.20000","0","displusindia"
"webplatdis","trans","0.20000","1","displusindia"
"roshiya","Trans","0.12000","0","displusindia"
"roshiya","Trans1","0.12000","1","displusindia"
"vmtdis","promo","0.20000","0","displusindia"
"vmtdis","trans","0.20000","1","displusindia"
"realtechdis","promo","0.20000","0","displusindia"
"realtechdis","trans","0.20000","1","displusindia"
"phoenixdis","promo","0.08500","0","displusindia"
"phoenixdis","trans","0.08500","1","displusindia"
"vinfotech","PROMO1","0.20000","0","displusindia"
"vinfotech","TRANS1","0.20000","1","displusindia"
"sandeshdis","promo","0.20000","0","displusindia"
"sandeshdis","trans","0.20000","1","displusindia"
"omenterprises","bstp","0.20000","0","displusindia"
"omenterprises","bstt","0.20000","1","displusindia"
"helpdist","bstp","0.20000","0","displusindia"
"helpdist","bstt","0.20000","1","displusindia"
"delhiweb","promo","0.20000","0","displusindia"
"delhiweb","trans","0.20000","1","displusindia"
"bulksmswaladis","promo","0.09000","0","displusindia"
"bulksmswaladis","trans","0.09000","1","displusindia"
"365recharge","bstp","0.09000","0","displusindia"
"365recharge","bstt","0.09000","1","displusindia"
"aiminc","promo","0.08200","0","displusindia"
"aiminc","trans","0.08200","1","displusindia"
"vapdis","promo","0.09000","0","displusindia"
"vapdis","trans","0.09000","1","displusindia"
"investwell","promo","0.20000","0","displusindia"
"investwell","trans","0.20000","1","displusindia"
"srivastavadis","promo","0.09000","0","displusindia"
"srivastavadis","trans","0.09000","1","displusindia"
"roundpay","promo","0.20000","0","displusindia"
"roundpay","trans","0.20000","1","displusindia"
"powerstores1","bstp","0.20000","0","displusindia"
"powerstores1","bstt","0.20000","1","displusindia"
"smsindiahubdis","bstp","0.08500","0","displusindia"
"wvoiceind","PROMO","0.09000","0","displusindia"
"wvoiceind","Trans","0.09000","1","displusindia"
"parthc","PROMO","0.20000","0","displusindia"
"parthc","Trans","0.20000","1","displusindia"
"artbeatdis","promo","0.20000","0","displusindia"
"artbeatdis","trans","0.20000","1","displusindia"
"venneladis","promo","0.20000","0","displusindia"
"venneladis","trans","0.20000","1","displusindia"
"gajanan","PROMO","0.20000","0","displusindia"
"gajanan","Trans","0.20000","1","displusindia"
"netkoshdis","promo","0.08500","0","displusindia"
"netkoshdis","trans","0.08500","1","displusindia"
"xpertisedis","PROMO","0.08750","0","displusindia"
"xpertisedis","Trans","0.08750","1","displusindia"
"switzinfo","promo","0.08750","0","displusindia"
"switzinfo","trans","0.08750","1","displusindia"
"thinksonic","promo","0.20000","0","displusindia"
"thinksonic","trans","0.20000","1","displusindia"
"welento","PROMO","0.20000","0","displusindia"
"welento","Trans","0.20000","1","displusindia"
"websmith","bstp","0.09000","0","displusindia"
"websmith","bstt","0.09000","1","displusindia"
"rachitdis","promo","0.20000","0","displusindia"
"rachitdis","trans","0.20000","1","displusindia"
"hindustantr","bstp","0.09000","0","displusindia"
"hindustantr","bstt","0.09000","1","displusindia"
"netappledis","promo1","0.08500","0","displusindia"
"netappledis","trans1","0.08500","1","displusindia"
"datadis","bstp","0.20000","0","displusindia"
"datadis","bstt","0.20000","1","displusindia"
"ynormed","promo","0.10000","0","displusindia"
"work2it","PROMO","0.20000","0","displusindia"
"work2it","Trans","0.20000","1","displusindia"
"clickbizindia","promo","0.20000","0","displusindia"
"clickbizindia","trans","0.20000","1","displusindia"
"ichnolitedis","bstp","0.20000","0","displusindia"
"ichnolitedis","bstt","0.20000","1","displusindia"
"oamtechno","promo1","0.09000","0","displusindia"
"oamtechno","trans1","0.09000","1","displusindia"
"pridesms","promo","0.08750","0","displusindia"
"pridesms","trans","0.08750","1","displusindia"
"vaagaidis","vaatrans","0.20000","1","displusindia"
"sirsadis","promo1","0.09000","0","displusindia"
"sirsadis","trans1","0.09000","1","displusindia"
"kappadis","bstp","0.20000","0","displusindia"
"kappadis","bst","0.20000","1","displusindia"
"javitriw","promo1","0.09000","0","displusindia"
"javitriw","trans1","0.09000","1","displusindia"
"kdigitaldis","promo1","0.08500","0","displusindia"
"kdigitaldis","trans1","0.08500","1","displusindia"
"netapplescrub","bstp","0.08500","0","displusindia"
"netapplescrub","bstt","0.08500","1","displusindia"
"msghouse","bstp","0.08500","0","displusindia"
"msghouse","bstt","0.08500","1","displusindia"
"pbsdis","bstp","0.08500","0","displusindia"
"pbsdis","bstt","0.08500","1","displusindia"
"visdis","vitspr","0.08500","0","displusindia"
"visdis","vitstr","0.08500","1","displusindia"
"smsrox","promo","0.08750","0","displusindia"
"smsrox","trans","0.08750","1","displusindia"
"adidis","bstp","0.20000","0","displusindia"
"adidis","bstt","0.20000","1","displusindia"
"indiasmssc","promo","0.10000","0","displusindia"
"indiasmssc","trans","0.10000","1","displusindia"
"mahaofferdis","Trans","0.08250","1","displusindia"
"smsandhra","promo","0.20000","0","displusindia"
"smsandhra","trans","0.20000","1","displusindia"
"techcoin","PROMO","0.09000","0","displusindia"
"techcoin","Trans","0.09000","1","displusindia"
"stmscrub","Trans","0.09500","1","displusindia"
"rpgsms","bstp","0.20000","0","displusindia"
"rpgsms","bstt","0.20000","1","displusindia"
"digiadd","promo","0.09000","0","displusindia"
"digiadd","trans","0.09000","1","displusindia"
"nucleusdis","promo1","0.08500","0","displusindia"
"nucleusdis","trans1","0.08500","1","displusindia"
"smsflydis","sflypr","0.20000","0","displusindia"
"smsflydis","sflytr","0.20000","1","displusindia"
"nascentdis","promo","0.08250","0","displusindia"
"nascentdis","trans","0.08250","1","displusindia"
"hindustant","hindtr","0.09000","0","displusindia"
"hindustant","hindtrs","0.09000","1","displusindia"
"smskaro","Pro","0.08250","0","displusindia"
"smskaro","Trans","0.08250","1","displusindia"
"monomozo","bstp","0.20000","0","displusindia"
"monomozo","bst","0.20000","1","displusindia"
"softcaredis","promo","0.20000","0","displusindia"
"softcaredis","trans","0.20000","1","displusindia"
"bestsmsdeal","promo","0.20000","0","displusindia"
"bestsmsdeal","trans","0.20000","1","displusindia"
"hindustandis","bstpro","0.09000","0","displusindia"
"iinetdistpro","Promo","0.09500","0","displusindia"
"ipeoplescrub","Promo","0.08500","0","displusindia"
"pcescrubdis","Promo","0.09000","0","displusindia"
"shresthascrub","promo","0.09000","0","displusindia"
"mahaofferdis","Promo","0.08250","0","displusindia"
"besiscrub","promo","0.08500","0","displusindia"
"stmscrub","Promo","0.09500","0","displusindia"
"rbsdis","PROMO","0.20000","0","displusindia"
"rbsdis","Trans","0.20000","1","displusindia"
"emaxglobal","PROMO","0.20000","0","displusindia"
"emaxglobal","Trans","0.20000","1","displusindia"
"appleminddis","Trans","0.20000","1","displusindia"
"star2","trans1","0.08500","1","displusindia"
"najmiservices","promo","0.09000","0","displusindia"
"najmiservices","trans","0.09000","1","displusindia"
"cabledis","bstt","0.08700","1","displusindia"
"cabledis","bstp","0.08700","0","displusindia"
"panachedis","Pro","0.08750","0","displusindia"
"panachedis","Trans","0.08750","1","displusindia"
"netappledist","Pro","0.08500","0","displusindia"
"netappledist","Trans","0.08500","1","displusindia"
"voyagdist","promo","0.20000","0","displusindia"
"voyagdist","trans","0.20000","1","displusindia"
"jdaasdis","bstp","0.20000","0","displusindia"
"jdaasdis","bstt","0.20000","1","displusindia"
"metadis","bstp","0.20000","0","displusindia"
"metadis","bstt","0.20000","1","displusindia"
"aproposdis","Promo","0.08250","0","displusindia"
"aproposdis","Trans","0.08250","1","displusindia"
"colourdis","bstp","0.20000","0","displusindia"
"colourdis","bstt","0.20000","1","displusindia"
"a2zsolutiondis","Promo","0.08500","0","displusindia"
"a2zsolutiondis","Trans","0.08500","1","displusindia"
"genxrell","promo1","0.08700","0","displusindia"
"genxrell","trans1","0.08700","1","displusindia"
"windis","promo","0.09000","0","displusindia"
"windis","trans","0.09000","1","displusindia"
"srrktechno","Trans","0.20000","1","displusindia"
"sksoftdis","Promo","0.20000","0","displusindia"
"sksoftdis","Trans","0.20000","1","displusindia"
"gstehno","promo","0.09000","0","displusindia"
"gstehno","trans","0.09000","1","displusindia"
"xylem","Promo","0.20000","0","displusindia"
"mcintellectdis","promo","0.08500","0","displusindia"
"mcintellectdis","trans","0.08500","1","displusindia"
"webmahaldis","Promo","0.09000","0","displusindia"
"webmahaldis","Trans","0.09000","1","displusindia"
"bazarsms","Promo","0.20000","0","displusindia"
"bazarsms","Trans","0.20000","1","displusindia"
"axcongncedistri","promo","0.20000","0","displusindia"
"axcongncedistri","trans","0.20000","1","displusindia"
"shrisay","Promo","0.11000","0","displusindia"
"shrisay","Trans","0.11000","1","displusindia"
"4dcompass","Promo","0.09000","0","displusindia"
"4dcompass","Trans","0.09000","1","displusindia"
"tsgdis","Promo","0.09000","0","displusindia"
"tsgdis","Trans","0.09000","1","displusindia"
"nectartrel","promo","0.20000","0","displusindia"
"nectartrel","trans","0.20000","1","displusindia"
"eaglewings","promo","0.20000","0","displusindia"
"eaglewings","trans","0.20000","1","displusindia"
"kdigiotp","trans1","0.08500","1","displusindia"
"kdigimtnl","trans1","0.08500","1","displusindia"
"deliverysms","Promo","0.09000","0","displusindia"
"deliverysms","Trans","0.09000","1","displusindia"
"colourmoondis","colo","0.20000","0","displusindia"
"colourmoondis","colt","0.20000","1","displusindia"
"msgnowdis","msgp","0.20000","0","displusindia"
"msgnowdis","msgt","0.20000","1","displusindia"
"sendsmsdis","promo","0.08500","0","displusindia"
"sendsmsdis","trans","0.08500","1","displusindia"
"sentsmsdis","Promo","0.08500","0","displusindia"
"sentsmsdis","Trans","0.08500","1","displusindia"
"amiabledist","amia","0.20000","0","displusindia"
"amiabledist","amit","0.20000","1","displusindia"
"arihntscrub","promo","0.08750","0","displusindia"
"arihntscrub","trans","0.08750","1","displusindia"
"jain19872dis","promo","0.08750","0","displusindia"
"infowaydis","info","0.20000","0","displusindia"
"infowaydis","inft","0.20000","1","displusindia"
